1622823260249,QUOTE,key,symbol,AAPL
1622823260249,QUOTE,delayed,delayed,False
1622823260249,QUOTE,assetMainType,asset-main-type,EQUITY
1622823260249,QUOTE,cusip,cusip,037833100
1622823260249,QUOTE,3,last-price,0
1622823261270,QUOTE,key,symbol,AAPL
1622823261270,QUOTE,3,last-price,0
1622823262304,QUOTE,key,symbol,AAPL
1622823262304,QUOTE,3,last-price,0
1622823264324,QUOTE,key,symbol,AAPL
1622823264324,QUOTE,3,last-price,0
1622823265338,QUOTE,key,symbol,AAPL
1622823265338,QUOTE,3,last-price,0
1622823266788,QUOTE,key,symbol,AAPL
1622823266788,QUOTE,3,last-price,0
1622823267825,QUOTE,key,symbol,AAPL
1622823267825,QUOTE,3,last-price,0
1622823269088,QUOTE,key,symbol,AAPL
1622823269088,QUOTE,3,last-price,0
1622823270131,QUOTE,key,symbol,AAPL
1622823270131,QUOTE,3,last-price,0
1622823273069,QUOTE,key,symbol,AAPL
1622823273069,QUOTE,3,last-price,0
1622823275570,QUOTE,key,symbol,AAPL
1622823275570,QUOTE,3,last-price,0
1622823276607,QUOTE,key,symbol,AAPL
1622823276607,QUOTE,3,last-price,0
1622823278322,QUOTE,key,symbol,AAPL
1622823278322,QUOTE,3,last-price,0
1622823279330,QUOTE,key,symbol,AAPL
1622823279330,QUOTE,3,last-price,0
1622823280372,QUOTE,key,symbol,AAPL
1622823280372,QUOTE,3,last-price,0
1622823281510,QUOTE,key,symbol,AAPL
1622823281510,QUOTE,3,last-price,0
1622823282542,QUOTE,key,symbol,AAPL
1622823282542,QUOTE,3,last-price,0
1622823284049,QUOTE,key,symbol,AAPL
1622823284049,QUOTE,3,last-price,0
1622989482515,QUOTE,key,symbol,AAPL
1622989482515,QUOTE,delayed,delayed,False
1622989482515,QUOTE,assetMainType,asset-main-type,EQUITY
1622989482515,QUOTE,cusip,cusip,037833100
1622989482515,QUOTE,3,last-price,0
